iter	Passed	Remaining
705	1412	588
706	1414	586
707	1416	584
708	1418	582
709	1420	580
710	1422	578
711	1424	576
712	1426	574
713	1427	571
714	1429	569
715	1431	567
716	1432	565
717	1434	563
718	1435	561
719	1437	559
720	1439	556
721	1440	554
722	1442	552
723	1443	550
724	1444	548
725	1446	545
726	1448	543
727	1449	541
728	1451	539
729	1452	537
730	1455	535
731	1456	533
732	1458	531
733	1461	529
734	1462	527
735	1464	525
736	1466	523
737	1467	521
738	1468	518
739	1470	516
740	1472	514
741	1473	512
742	1475	510
743	1477	508
744	1478	506
745	1480	504
746	1481	501
747	1483	499
748	1485	497
749	1487	495
750	1489	493
751	1490	491
752	1492	489
753	1493	487
754	1495	485
755	1497	483
756	1499	481
757	1500	478
758	1501	476
759	1503	474
760	1505	472
761	1506	470
762	1508	468
763	1510	466
764	1512	464
765	1513	462
766	1515	460
767	1516	458
768	1517	455
769	1519	453
770	1521	451
771	1522	449
772	1524	447
773	1525	445
774	1527	443
775	1528	441
776	1530	439
777	1532	437
778	1534	435
779	1536	433
780	1537	431
781	1540	429
782	1542	427
783	1544	425
784	1545	423
785	1546	421
786	1548	419
787	1550	417
788	1551	414
789	1553	412
790	1554	410
791	1556	408
792	1558	406
793	1559	404
794	1561	402
795	1562	400
796	1563	398
797	1565	396
798	1566	394
799	1568	392
800	1569	390
801	1572	388
802	1574	386
803	1576	384
804	1578	382
805	1579	380
806	1581	378
807	1583	376
808	1584	374
809	1586	372
810	1588	370
811	1589	368
812	1592	366
813	1594	364
814	1596	362
815	1597	360
816	1599	358
817	1601	356
818	1603	354
819	1604	352
820	1607	350
821	1609	348
822	1611	346
823	1612	344
824	1614	342
825	1616	340
826	1617	338
827	1619	336
828	1621	334
829	1623	332
830	1625	330
831	1626	328
832	1628	326
833	1630	324
834	1632	322
835	1634	320
836	1635	318
837	1637	316
838	1639	314
839	1640	312
840	1641	310
841	1643	308
842	1645	306
843	1647	304
844	1648	302
845	1650	300
846	1651	298
847	1653	296
848	1655	294
849	1656	292
850	1658	290
851	1659	288
852	1661	286
853	1663	284
854	1664	282
855	1666	280
856	1668	278
857	1669	276
858	1672	274
859	1673	272
860	1674	270
861	1676	268
862	1679	266
863	1680	264
864	1682	262
865	1684	260
866	1686	258
